target,smiles,qed_score,docking_score,score,synthesis,num_steps
c1ccccc1,Cc1cc(C)cc(-n2cnc3c(Nc4ncc(CO)cn4)ncnc32)c1,0.584,-10.700,0.892,Nc1ncc(CO)cn1;Cc1cc(C)cc(N)c1;R66,1
c1ccccc1,O=C1c2ccccc2CC1Nc1ncnc2c1ncn2-c1cnc(Cl)nc1,0.548,-10.500,0.875,Nc1cnc(Cl)nc1;NC1Cc2ccccc2C1=O;R66,1
c1ccccc1,Cc1cc(C)cc(NC(=O)C(=O)Nc2ncc(CO)cn2)c1,0.738,-10.000,0.833,Nc1ncc(CO)cn1;Cc1cc(C)cc(N)c1;R38,1
c1ccccc1,Cc1cc(N)cc(-n2cnc3c(Nc4ncc(CO)cn4)ncnc32)c1,0.476,-10.000,0.833,Nc1ncc(CO)cn1;Cc1cc(N)cc(N)c1;R66,1
c1ccccc1,O=C(Nc1cnc(Cl)nc1)C(=O)NC1Cc2ccccc2C1=O,0.631,-9.700,0.808,Nc1cnc(Cl)nc1;NC1Cc2ccccc2C1=O;R38,1
c1ccccc1,Cc1conc1CNc1ncnc2c1ncn2-c1c(Cl)cncc1Cl,0.583,-9.400,0.783,Nc1c(Cl)cncc1Cl;Cc1conc1CN;R66,1
c1ccccc1,O=C(Nc1cnc(Cl)nc1)NC1Cc2ccccc2C1=O,0.832,-9.200,0.767,Nc1cnc(Cl)nc1;NC1Cc2ccccc2C1=O;R36,1
c1ccccc1,Cc1cc(C)cc(NC(=O)Nc2ncc(CO)cn2)c1,0.799,-9.200,0.767,Nc1ncc(CO)cn1;Cc1cc(C)cc(N)c1;R36,1
c1ccccc1,Cc1cc(N)cc(NC(=O)Nc2ncc(CO)cn2)c1,0.633,-9.100,0.758,Nc1ncc(CO)cn1;Cc1cc(N)cc(N)c1;R36,1
c1ccccc1,O=S(=O)(F)c1cnc(N2CCCCC23CCCCCC3)nc1,0.781,-8.900,0.742,O=S(=O)(F)c1cnc(Cl)nc1;C1CCCC2(CC1)CCCCN2;R9,1
c1ccccc1,O=S(=O)(F)c1cnc(N2CCCCC23CCCCCC3)nc1,0.781,-8.900,0.742,O=S(=O)(F)c1cnc(Cl)nc1;C1CCCC2(CC1)CCCCN2;R103,1
c1ccccc1,Nc1cnc(NC2Cc3ccccc3C2=O)nc1,0.826,-8.800,0.733,Nc1cnc(Cl)nc1;NC1Cc2ccccc2C1=O;R9,1
c1ccccc1,Cc1cc(N)cc(NC(=O)C(=O)Nc2ncc(CO)cn2)c1,0.480,-8.800,0.733,Nc1ncc(CO)cn1;Cc1cc(N)cc(N)c1;R38,1
c1ccccc1,O=S(=O)(c1cnc(Cl)nc1)N1CCCCC12CCCCCC2,0.772,-8.800,0.733,O=S(=O)(F)c1cnc(Cl)nc1;C1CCCC2(CC1)CCCCN2;R11,1
c1ccccc1,COC(=O)c1ccc(Nc2ncc(Br)cn2)cc1S(=O)(=O)Cl,0.615,-8.700,0.725,Nc1ncc(Br)cn1;COC(=O)c1ccc(Br)cc1S(=O)(=O)Cl;R103,1
c1ccccc1,COC(=O)c1ccc(Nc2ncc(Br)cn2)cc1S(=O)(=O)Cl,0.615,-8.600,0.717,Nc1ncc(Br)cn1;COC(=O)c1ccc(Br)cc1S(=O)(=O)Cl;R9,1
c1ccccc1,O=C1c2ccc(Br)cc2S(=O)(=O)N1c1ncc(Br)cn1,0.710,-8.500,0.708,Nc1ncc(Br)cn1;COC(=O)c1ccc(Br)cc1S(=O)(=O)Cl;R34,1
c1ccccc1,COC(=O)c1ccc(Sc2cnc(N)nc2)cc1S(=O)(=O)Cl,0.650,-8.500,0.708,Nc1ncc(Br)cn1;COC(=O)c1ccc(Br)cc1S(=O)(=O)Cl;R21,1
c1ccccc1,Cc1conc1CNC(=O)C(=O)Nc1c(Cl)cncc1Cl,0.839,-8.500,0.708,Nc1c(Cl)cncc1Cl;Cc1conc1CN;R38,1
c1ccccc1,COC(=O)c1ccc(-c2cnc(N)nc2)cc1S(=O)(=O)Cl,0.670,-8.400,0.700,Nc1ncc(Br)cn1;COC(=O)c1ccc(Br)cc1S(=O)(=O)Cl;R95,1
